original_title;title
Noah;Noah
The Adventures of Tintin;The Adventures of Tintin
Harry Potter and the Prisoner of Azkaban;Harry Potter and the Prisoner of Azkaban
Australia;Australia
After Earth;After Earth
Dinosaur;Dinosaur
Night at the Museum: Secret of the Tomb;Night at the Museum: Secret of the Tomb
Megamind;Megamind
Harry Potter and the Philosopher's Stone;Harry Potter and the Philosopher's Stone
R.I.P.D.;R.I.P.D.
Pirates of the Caribbean: The Curse of the Black Pearl;Pirates of the Caribbean: The Curse of the Black Pearl
The Hunger Games: Mockingjay - Part 1;The Hunger Games: Mockingjay - Part 1
The Da Vinci Code;The Da Vinci Code
Rio 2;Rio 2
X2;X2
Fast Five;Fast Five
Sherlock Holmes: A Game of Shadows;Sherlock Holmes: A Game of Shadows
Clash of the Titans;Clash of the Titans
Total Recall;Total Recall
The 13th Warrior;The 13th Warrior
The Bourne Legacy;The Bourne Legacy
Batman & Robin;Batman & Robin
How the Grinch Stole Christmas;How the Grinch Stole Christmas
The Day After Tomorrow;The Day After Tomorrow
Mission: Impossible II;Mission: Impossible II
The Perfect Storm;The Perfect Storm
4: Rise of the Silver Surfer;Fantastic 4: Rise of the Silver Surfer
Life of Pi;Life of Pi
Ghost Rider;Ghost Rider
Jason Bourne;Jason Bourne
Charlie's Angels: Full Throttle;Charlie's Angels: Full Throttle
Prometheus;Prometheus
Stuart Little 2;Stuart Little 2
Elysium;Elysium
The Chronicles of Riddick;The Chronicles of Riddick
RoboCop;RoboCop
Speed Racer;Speed Racer
How Do You Know;How Do You Know
Knight and Day;Knight and Day
Oblivion;Oblivion
Star Wars: Episode III - Revenge of the Sith;Star Wars: Episode III - Revenge of the Sith
Star Wars: Episode II - Attack of the Clones;Star Wars: Episode II - Attack of the Clones
Monsters, Inc.;Monsters, Inc.
The Wolverine;The Wolverine
Star Wars: Episode I - The Phantom Menace;Star Wars: Episode I - The Phantom Menace
The Croods;The Croods
Astérix aux Jeux Olympiques;Asterix at the Olympic Games
Windtalkers;Windtalkers
The Huntsman: Winter's War;The Huntsman: Winter's War
Teenage Mutant Ninja Turtles;Teenage Mutant Ninja Turtles
Gravity;Gravity
Dante's Peak;Dante's Peak
Teenage Mutant Ninja Turtles: Out of the Shadows;Teenage Mutant Ninja Turtles: Out of the Shadows
Fantastic Four;Fantastic Four
Night at the Museum;Night at the Museum
San Andreas;San Andreas
Tomorrow Never Dies;Tomorrow Never Dies
The Patriot;The Patriot
Ocean's Twelve;Ocean's Twelve
Mr. & Mrs. Smith;Mr. & Mrs. Smith
Insurgent;Insurgent
The Aviator;The Aviator
Gulliver's Travels;Gulliver's Travels
The Green Hornet;The Green Hornet
300: Rise of an Empire;300: Rise of an Empire
The Smurfs;The Smurfs
Home on the Range;Home on the Range
Allegiant;Allegiant
Real Steel;Real Steel
The Smurfs 2;The Smurfs 2
Speed 2: Cruise Control;Speed 2: Cruise Control
Ender's Game;Ender's Game
Live Free or Die Hard;Live Free or Die Hard
The Lord of the Rings: The Fellowship of the Ring;The Lord of the Rings: The Fellowship of the Ring
Around the World in 80 Days;Around the World in 80 Days
Ali;Ali
The Cat in the Hat;The Cat in the Hat
I, Robot;I, Robot
Kingdom of Heaven;Kingdom of Heaven
Stuart Little;Stuart Little
The Princess and the Frog;The Princess and the Frog
The Martian;The Martian
The Island;The Island
Town & Country;Town & Country
Gone in Sixty Seconds;Gone in Sixty Seconds
Gladiator;Gladiator
Minority Report;Minority Report
Harry Potter and the Chamber of Secrets;Harry Potter and the Chamber of Secrets
Casino Royale;Casino Royale
Planet of the Apes;Planet of the Apes
Terminator 2: Judgment Day;Terminator 2: Judgment Day
Public Enemies;Public Enemies
American Gangster;American Gangster
True Lies;True Lies
The Taking of Pelham 1 2 3;The Taking of Pelham 1 2 3
Little Fockers;Little Fockers
The Other Guys;The Other Guys
Eraser;Eraser
Django Unchained;Django Unchained
The Hunchback of Notre Dame;The Hunchback of Notre Dame
The Emperor's New Groove;The Emperor's New Groove
The Expendables 2;The Expendables 2
National Treasure;National Treasure
Eragon;Eragon
Where the Wild Things Are;Where the Wild Things Are
Epic;Epic
The Tourist;The Tourist
End of Days;End of Days
Blood Diamond;Blood Diamond
The Wolf of Wall Street;The Wolf of Wall Street
Batman Forever;Batman Forever
Starship Troopers;Starship Troopers
Cloud Atlas;Cloud Atlas
Legend of the Guardians: The Owls of Ga'Hoole;Legend of the Guardians: The Owls of Ga'Hoole
Catwoman;Catwoman
Hercules;Hercules
Treasure Planet;Treasure Planet
Land of the Lost;Land of the Lost
The Expendables 3;The Expendables 3
Point Break;Point Break
Son of the Mask;Son of the Mask
In the Heart of the Sea;In the Heart of the Sea
The Adventures of Pluto Nash;The Adventures of Pluto Nash
Green Zone;Green Zone
The Peanuts Movie;The Peanuts Movie
The Spanish Prisoner;The Spanish Prisoner
The Mummy Returns;The Mummy Returns
Gangs of New York;Gangs of New York
金陵十三釵;The Flowers of War
Surf's Up;Surf's Up
The Stepford Wives;The Stepford Wives
Black Hawk Down;Black Hawk Down
The Campaign;The Campaign
The Fifth Element;The Fifth Element
Sex and the City 2;Sex and the City 2
The Road to El Dorado;The Road to El Dorado
Ice Age: Continental Drift;Ice Age: Continental Drift
Cinderella;Cinderella
The Lovely Bones;The Lovely Bones
Finding Nemo;Finding Nemo
The Lord of the Rings: The Return of the King;The Lord of the Rings: The Return of the King
The Lord of the Rings: The Two Towers;The Lord of the Rings: The Two Towers
Seventh Son;Seventh Son
Lara Croft: Tomb Raider;Lara Croft: Tomb Raider
Transcendence;Transcendence
Jurassic Park III;Jurassic Park III
Rise of the Planet of the Apes;Rise of the Planet of the Apes
The Spiderwick Chronicles;The Spiderwick Chronicles
A Good Day to Die Hard;A Good Day to Die Hard
The Alamo;The Alamo
The Incredibles;The Incredibles
Cutthroat Island;Cutthroat Island
Percy Jackson & the Olympians: The Lightning Thief;Percy Jackson & the Olympians: The Lightning Thief
Men in Black;Men in Black
Toy Story 2;Toy Story 2
Unstoppable;Unstoppable
Rush Hour 2;Rush Hour 2
What Lies Beneath;What Lies Beneath
Cloudy with a Chance of Meatballs;Cloudy with a Chance of Meatballs
Ice Age: Dawn of the Dinosaurs;Ice Age: Dawn of the Dinosaurs
The Secret Life of Walter Mitty;The Secret Life of Walter Mitty
Charlie's Angels;Charlie's Angels
The Departed;The Departed
Mulan;Mulan
Tropic Thunder;Tropic Thunder
The Girl with the Dragon Tattoo;The Girl with the Dragon Tattoo
Die Hard: With a Vengeance;Die Hard: With a Vengeance
Sherlock Holmes;Sherlock Holmes
Ben-Hur;Ben-Hur
Atlantis: The Lost Empire;Atlantis: The Lost Empire
Alvin and the Chipmunks: The Road Chip;Alvin and the Chipmunks: The Road Chip
Valkyrie;Valkyrie
You Don't Mess with the Zohan;You Don't Mess with the Zohan
Pixels;Pixels
A.I. Artificial Intelligence;A.I. Artificial Intelligence
The Haunted Mansion;The Haunted Mansion
Contact;Contact
Hollow Man;Hollow Man
The Interpreter;The Interpreter
Percy Jackson: Sea of Monsters;Percy Jackson: Sea of Monsters
Lara Croft Tomb Raider: The Cradle of Life;Lara Croft Tomb Raider: The Cradle of Life
Now You See Me 2;Now You See Me 2
The Saint;The Saint
Spy Game;Spy Game
Mission to Mars;Mission to Mars
Rio;Rio
Bicentennial Man;Bicentennial Man
Volcano;Volcano
The Devil's Own;The Devil's Own
K-19: The Widowmaker;K-19: The Widowmaker
Conan the Barbarian;Conan the Barbarian
Cinderella Man;Cinderella Man
The Nutcracker: The Untold Story;The Nutcracker: The Untold Story
Seabiscuit;Seabiscuit
Twister;Twister
Cast Away;Cast Away
Happy Feet;Happy Feet
The Bourne Supremacy;The Bourne Supremacy
Air Force One;Air Force One
Ocean's Eleven;Ocean's Eleven
The Three Musketeers;The Three Musketeers
Hotel Transylvania;Hotel Transylvania
Enchanted;Enchanted
Safe House;Safe House
102 Dalmatians;102 Dalmatians
Tower Heist;Tower Heist
The Holiday;The Holiday
Enemy of the State;Enemy of the State
It's Complicated;It's Complicated
Ocean's Thirteen;Ocean's Thirteen
Open Season;Open Season
Divergent;Divergent
Enemy at the Gates;Enemy at the Gates
The Rundown;The Rundown
Last Action Hero;Last Action Hero
Memoirs of a Geisha;Memoirs of a Geisha
The Fast and the Furious: Tokyo Drift;The Fast and the Furious: Tokyo Drift
Arthur Christmas;Arthur Christmas
Meet Joe Black;Meet Joe Black
Collateral Damage;Collateral Damage
All That Jazz;All That Jazz
Mirror Mirror;Mirror Mirror
Scott Pilgrim vs. the World;Scott Pilgrim vs. the World
The Core;The Core
Nutty Professor II: The Klumps;Nutty Professor II: The Klumps
Scooby-Doo;Scooby-Doo
Dredd;Dredd
Click;Click
Creepshow;Creepshow
Cats & Dogs 2 : The Revenge of Kitty Galore;Cats & Dogs 2 : The Revenge of Kitty Galore
Jumper;Jumper
Hellboy II: The Golden Army;Hellboy II: The Golden Army
Zodiac;Zodiac
The 6th Day;The 6th Day
Bruce Almighty;Bruce Almighty
The Expendables;The Expendables
Mission: Impossible;Mission: Impossible
The Hunger Games;The Hunger Games
The Hangover Part II;The Hangover Part II
Batman Returns;Batman Returns
Over the Hedge;Over the Hedge
Lilo & Stitch;Lilo & Stitch
Charlotte's Web;Charlotte's Web
Deep Impact;Deep Impact
RED 2;RED 2
The Longest Yard;The Longest Yard
Alvin and the Chipmunks: Chipwrecked;Alvin and the Chipmunks: Chipwrecked
Grown Ups 2;Grown Ups 2
Get Smart;Get Smart
Something's Gotta Give;Something's Gotta Give
Shutter Island;Shutter Island
Four Christmases;Four Christmases
Robots;Robots
Face/Off;Face/Off
Bedtime Stories;Bedtime Stories
Road to Perdition;Road to Perdition
Just Go with It;Just Go with It
Con Air;Con Air
Eagle Eye;Eagle Eye
Cold Mountain;Cold Mountain
The Book of Eli;The Book of Eli
Flubber;Flubber
The Haunting;The Haunting
Space Jam;Space Jam
The Pink Panther;The Pink Panther
The Day the Earth Stood Still;The Day the Earth Stood Still
Conspiracy Theory;Conspiracy Theory
Fury;Fury
Six Days Seven Nights;Six Days Seven Nights
Yogi Bear;Yogi Bear
Spirit: Stallion of the Cimarron;Spirit: Stallion of the Cimarron
Zookeeper;Zookeeper
Lost in Space;Lost in Space
The Manchurian Candidate;The Manchurian Candidate
Déjà Vu;Déjà Vu
Hotel Transylvania 2;Hotel Transylvania 2
Fantasia 2000;Fantasia 2000
The Time Machine;The Time Machine
Mighty Joe Young;Mighty Joe Young
Swordfish;Swordfish
The Legend of Zorro;The Legend of Zorro
What Dreams May Come;What Dreams May Come
Little Nicky;Little Nicky
The Brothers Grimm;The Brothers Grimm
Mars Attacks!;Mars Attacks!
Évolution;Evolution
The Edge;The Edge
Surrogates;Surrogates
Thirteen Days;Thirteen Days
Daylight;Daylight
Walking With Dinosaurs;Walking With Dinosaurs
Battlefield Earth;Battlefield Earth
Looney Tunes: Back in Action;Looney Tunes: Back in Action
Nine;Nine
Timeline;Timeline
The Postman;The Postman
Babe: Pig in the City;Babe: Pig in the City
The Last Witch Hunter;The Last Witch Hunter
Red Planet;Red Planet
Arthur et les Minimoys;Arthur and the Invisibles
Oceans;Oceans
A Sound of Thunder;A Sound of Thunder
Pompeii;Pompeii
Don Gato: El inicio de la pandilla;Top Cat Begins
A Beautiful Mind;A Beautiful Mind
The Lion King;The Lion King
Journey 2: The Mysterious Island;Journey 2: The Mysterious Island
Cloudy with a Chance of Meatballs 2;Cloudy with a Chance of Meatballs 2
Red Dragon;Red Dragon
Hidalgo;Hidalgo
Jack and Jill;Jack and Jill
2 Fast 2 Furious;2 Fast 2 Furious
The Little Prince;The Little Prince
The Invasion;The Invasion
The Adventures of Rocky & Bullwinkle;The Adventures of Rocky & Bullwinkle
The Secret Life of Pets;The Secret Life of Pets
The League of Extraordinary Gentlemen;The League of Extraordinary Gentlemen
Despicable Me 2;Despicable Me 2
Independence Day;Independence Day
The Lost World: Jurassic Park;The Lost World: Jurassic Park
Madagascar;Madagascar
Children of Men;Children of Men
X-Men;X-Men
Wanted;Wanted
The Rock;The Rock
Ice Age: The Meltdown;Ice Age: The Meltdown
50 First Dates;50 First Dates
Hairspray;Hairspray
Exorcist: The Beginning;Exorcist: The Beginning
Inspector Gadget;Inspector Gadget
Now You See Me;Now You See Me
Grown Ups;Grown Ups
The Terminal;The Terminal
Hotel for Dogs;Hotel for Dogs
Vertical Limit;Vertical Limit
Charlie Wilson's War;Charlie Wilson's War
Shark Tale;Shark Tale
Dreamgirls;Dreamgirls
Be Cool;Be Cool
Munich;Munich
Tears of the Sun;Tears of the Sun
Killers;Killers
The Man from U.N.C.L.E.;The Man from U.N.C.L.E.
Spanglish;Spanglish
Monster House;Monster House
Bandits;Bandits
First Knight;First Knight
Anna and the King;Anna and the King
Immortals;Immortals
Hostage;Hostage
Titan A.E.;Titan A.E.
Hollywood Homicide;Hollywood Homicide
Soldier;Soldier
Carriers;Carriers
Monkeybone;Monkeybone
Flight of the Phoenix;Flight of the Phoenix
Unbreakable;Unbreakable
Minions;Minions
Sucker Punch;Sucker Punch
Snake Eyes;Snake Eyes
Sphere;Sphere
The Angry Birds Movie;The Angry Birds Movie
Fool's Gold;Fool's Gold
Funny People;Funny People
The Kingdom;The Kingdom
Talladega Nights: The Ballad of Ricky Bobby;Talladega Nights: The Ballad of Ricky Bobby
Dr. Dolittle 2;Dr. Dolittle 2
Braveheart;Braveheart
Jarhead;Jarhead
The Simpsons Movie;The Simpsons Movie
The Majestic;The Majestic
Driven;Driven
Deux frères;Two Brothers
The Village;The Village
Doctor Dolittle;Doctor Dolittle
Signs;Signs
Shrek 2;Shrek 2
Cars;Cars
Runaway Bride;Runaway Bride
xXx;xXx
The SpongeBob Movie: Sponge Out of Water;The SpongeBob Movie: Sponge Out of Water
Ransom;Ransom
Inglourious Basterds;Inglourious Basterds
Hook;Hook
Die Hard 2;Die Hard 2
S.W.A.T.;S.W.A.T.
Vanilla Sky;Vanilla Sky
Lady in the Water;Lady in the Water
AVP: Alien vs. Predator;AVP: Alien vs. Predator
Alvin and the Chipmunks: The Squeakquel;Alvin and the Chipmunks: The Squeakquel
We Were Soldiers;We Were Soldiers
Olympus Has Fallen;Olympus Has Fallen
Star Trek: Insurrection;Star Trek: Insurrection
Battle: Los Angeles;Battle: Los Angeles
Big Fish;Big Fish
Wolf;Wolf
War Horse;War Horse
The Monuments Men;The Monuments Men
The Abyss;The Abyss
Wall Street: Money Never Sleeps;Wall Street: Money Never Sleeps
Dracula Untold;Dracula Untold
The Siege;The Siege
Stardust;Stardust
Seven Years in Tibet;Seven Years in Tibet
The Dilemma;The Dilemma
Bad Company;Bad Company
Doom;Doom
I Spy;I Spy
Underworld: Awakening;Underworld: Awakening
Rock of Ages;Rock of Ages
Hart's War;Hart's War
Killer Elite;Killer Elite
Rollerball;Rollerball
Ballistic: Ecks vs. Sever;Ballistic: Ecks vs. Sever
Hard Rain;Hard Rain
Osmosis Jones;Osmosis Jones
Legends of Oz: Dorothy's Return;Legends of Oz: Dorothy's Return
Blackhat;Blackhat
Sky Captain and the World of Tomorrow;Sky Captain and the World of Tomorrow
Basic Instinct 2;Basic Instinct 2
Escape Plan;Escape Plan
The Legend of Hercules;The Legend of Hercules
The Sum of All Fears;The Sum of All Fears
The Twilight Saga: Eclipse;The Twilight Saga: Eclipse
The Score;The Score
Despicable Me;Despicable Me
Money Train;Money Train
Ted 2;Ted 2
Agora;Agora
Mystery Men;Mystery Men
Hall Pass;Hall Pass
The Insider;The Insider
The Finest Hours;The Finest Hours
Body of Lies;Body of Lies
Dinner for Schmucks;Dinner for Schmucks
Abraham Lincoln: Vampire Hunter;Abraham Lincoln: Vampire Hunter
Entrapment;Entrapment
The X Files;The X Files
The Last Legion;The Last Legion
Saving Private Ryan;Saving Private Ryan
Need for Speed;Need for Speed
What Women Want;What Women Want
Ice Age;Ice Age
Dreamcatcher;Dreamcatcher
Lincoln;Lincoln
The Matrix;The Matrix
Apollo 13;Apollo 13
The Santa Clause 2;The Santa Clause 2
Les Misérables;Les Misérables
You've Got Mail;You've Got Mail
Step Brothers;Step Brothers
The Mask of Zorro;The Mask of Zorro
Due Date;Due Date
Unbroken;Unbroken
Space Cowboys;Space Cowboys
Cliffhanger;Cliffhanger
Broken Arrow;Broken Arrow
The Kid;The Kid
World Trade Center;World Trade Center
Mona Lisa Smile;Mona Lisa Smile
The Dictator;The Dictator
Eyes Wide Shut;Eyes Wide Shut
Annie;Annie
Focus;Focus
This Means War;This Means War
Blade: Trinity;Blade: Trinity
Red Dawn;Red Dawn
Primary Colors;Primary Colors
Resident Evil: Retribution;Resident Evil: Retribution
Death Race;Death Race
The Long Kiss Goodnight;The Long Kiss Goodnight
Proof of Life;Proof of Life
Zathura: A Space Adventure;Zathura: A Space Adventure
Fight Club;Fight Club
We Are Marshall;We Are Marshall
Hudson Hawk;Hudson Hawk
Lucky Numbers;Lucky Numbers
I, Frankenstein;I, Frankenstein
Oliver Twist;Oliver Twist
Elektra;Elektra
Sin City: A Dame to Kill For;Sin City: A Dame to Kill For
Random Hearts;Random Hearts
Everest;Everest
Perfume: The Story of a Murderer;Perfume: The Story of a Murderer
Austin Powers in Goldmember;Austin Powers in Goldmember
Astro Boy;Astro Boy
Jurassic Park;Jurassic Park
Wyatt Earp;Wyatt Earp
Clear and Present Danger;Clear and Present Danger
天將雄師;Dragon Blade
Little Man;Little Man
U-571;U-571
The American President;The American President
The Love Guru;The Love Guru
3000 Miles to Graceland;3000 Miles to Graceland
The Hateful Eight;The Hateful Eight
Blades of Glory;Blades of Glory
Hop;Hop
300;300
Meet the Fockers;Meet the Fockers
Marley & Me;Marley & Me
The Green Mile;The Green Mile
Wild Hogs;Wild Hogs
Chicken Little;Chicken Little
Gone Girl;Gone Girl
The Bourne Identity;The Bourne Identity
GoldenEye;GoldenEye
The General's Daughter;The General's Daughter
The Truman Show;The Truman Show
The Prince of Egypt;The Prince of Egypt
Daddy Day Care;Daddy Day Care
2 Guns;2 Guns
Cats & Dogs;Cats & Dogs
The Italian Job;The Italian Job
Two Weeks Notice;Two Weeks Notice
Antz;Antz
Couples Retreat;Couples Retreat
Days of Thunder;Days of Thunder
Cheaper by the Dozen 2;Cheaper by the Dozen 2
Maze Runner: The Scorch Trials;Maze Runner: The Scorch Trials
Eat Pray Love;Eat Pray Love
The Family Man;The Family Man
RED;RED
Any Given Sunday;Any Given Sunday
The Horse Whisperer;The Horse Whisperer
Collateral;Collateral
The Scorpion King;The Scorpion King
Ladder 49;Ladder 49
Jack Reacher;Jack Reacher
Deep Blue Sea;Deep Blue Sea
Michael Jackson's This Is It;This Is It
Contagion;Contagion
Kangaroo Jack;Kangaroo Jack
Coraline;Coraline
The Happening;The Happening
Man on Fire;Man on Fire
The Shaggy Dog;The Shaggy Dog
Starsky & Hutch;Starsky & Hutch
Jingle All the Way;Jingle All the Way
Hellboy;Hellboy
A Civil Action;A Civil Action
ParaNorman;ParaNorman
The Jackal;The Jackal
Paycheck;Paycheck
Up Close & Personal;Up Close & Personal
The Tale of Despereaux;The Tale of Despereaux
The Tuxedo;The Tuxedo
Under Siege 2: Dark Territory;Under Siege 2: Dark Territory
Jack Ryan: Shadow Recruit;Jack Ryan: Shadow Recruit
Joy;Joy
London Has Fallen;London Has Fallen
Alien: Resurrection;Alien: Resurrection
Shooter;Shooter
The Boxtrolls;The Boxtrolls
Practical Magic;Practical Magic
The Lego Movie;The Lego Movie
Miss Congeniality 2: Armed and Fabulous;Miss Congeniality 2: Armed and Fabulous
Reign of Fire;Reign of Fire
Gangster Squad;Gangster Squad
Year One;Year One
Invictus;Invictus
State of Play;State of Play
Duplicity;Duplicity
My Favorite Martian;My Favorite Martian
The Sentinel;The Sentinel
Planet 51;Planet 51
Star Trek: Nemesis;Star Trek: Nemesis
Intolerable Cruelty;Intolerable Cruelty
Trouble with the Curve;Trouble with the Curve
Edge of Darkness;Edge of Darkness
The Relic;The Relic
Analyze That;Analyze That
Righteous Kill;Righteous Kill
Mercury Rising;Mercury Rising
The Soloist;The Soloist
The Legend of Bagger Vance;The Legend of Bagger Vance
Almost Famous;Almost Famous
Garfield: A Tail of Two Kitties;Garfield: A Tail of Two Kitties
xXx: State of the Union;xXx: State of the Union
Priest;Priest
